"";"Network";"Number";"Species";"Plants";"Pollinators";"Interactions";"MaxKcore";"MeanKdegree";"MeanKradius";"MaxKradius";"NODF";"Cscore";"Modularity";"RemovedLinks";"Type";"RndCorr";"Asimetria"
"62";"M_SD_003,csv";"03";41;25;16;68;3;1,77693709080325;2,45189701897019;3,5;41,0856881214024;0,473965247715248;0,334018166089965;NA;"Disperser";-0,761761457623507;0,219512195121951
"63";"M_SD_004,csv";"04";54;34;20;95;4;2,36919870253204;2,19230769230769;3;39,8198169636252;0,447943765813641;0,345761772853185;NA;"Disperser";-0,832039656014393;0,259259259259259
"66";"M_SD_007,csv";"07";79;72;7;143;3;2,34073098572273;2,367472190257;3,33333333333333;51,6734575087311;0,325013041210224;0,284145924006064;NA;"Disperser";0,142883006609238;0,822784810126582
"69";"M_SD_010,csv";"10";64;50;14;234;6;4,48083262481997;2,13977272727273;2,81818181818182;42,1338932091212;0,414990885321352;0,0386532982686829;NA;"Disperser";-0,301158537764448;0,5625
"71";"M_SD_012,csv";"12";64;35;29;146;4;2,30732523655378;2,56971153846154;5,46153846153846;33,0367107639835;0,568741479876091;0,232055732782886;NA;"Disperser";0,304879243111631;0,09375
"72";"M_SD_013,csv";"13";55;36;19;197;7;4,37709559186771;2,30909090909091;5;37,3678779952188;0,568202170789094;0,331894663608957;NA;"Disperser";-0,778087754080445;0,309090909090909
"75";"M_SD_016,csv";"16";85;24;61;500;11;8,39966587173837;2,0076124567474;2,88235294117647;58,8381063116065;0,189039515195847;0,00494999999999997;NA;"Disperser";-0,943721444310992;0,435294117647059
"77";"M_SD_018,csv";"18";61;29;32;66;2;0,748785046577068;3,41320754716981;5,6;11,2060500475135;0,850687812070641;0,590335169880625;NA;"Disperser";-0,841733979229784;0,0491803278688525
"79";"M_SD_020,csv";"20";58;25;33;150;5;3,07484778670956;2,30721003134796;3;53,5537134631337;0,406821941659705;0,1326;NA;"Disperser";0,167379964091218;0,137931034482759
"80";"M_SD_021,csv";"21";46;18;28;129;5;3,46385408070191;2,18695652173913;2,8;61,5233312408454;0,360299747485778;0,176912445165555;NA;"Disperser";-0,773478832833019;0,217391304347826
